Productname,CU,SU,BuildNbAll,BuilCUNb,Major,CUBuildNb,SUBuildNb
Exchange Server 2019,CU12,Aug22SU,15.2.1118.12,15.2.1118,15.2,1118,12
Exchange Server 2019,CU12,May22SU,15.2.1118.9,15.2.1118,15.2,1118,9
