Role,RoleCMDLet,Parameters
"View-Only Configuration","Get-PublicFolderDatabase","Debug;DomainController;ErrorAction;ErrorVariable;Identity;IncludeCorrupted;IncludePreExchange2010;OutBuffer;OutVariable;Server;Status;Verbose;WarningAction;WarningVariable"
"View-Only Configuration","Get-AgentTrafficTypeSubscription","Server;SubType;TrafficType;TransportAgent;TransportService"
"View-Only Configuration","Get-CASMailboxPlan","DomainController"
"View-Only Configuration","Add-GlobalMonitoringOverride","ApplyVersion;BuildRange;Confirm;Debug;DomainController;Duration;ErrorAction;ErrorVariable;Identity;ItemType;OutBuffer;OutVariable;PropertyName;PropertyValue;Roles;Verbose;WarningAction;WarningVariable;WhatIf"
"View-Only Configuration","New-ProtectionAlert","Debug"
"View-Only Configuration","Get-OutlookServiceVirtualDirectory","ADPropertiesOnly;Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Server;ShowMailboxVirtualDirectories;Verbose;WarningAction;WarningVariable"
"View-Only Configuration","Get-ComplianceSecurityFilter","Action;Debug;DomainController;ErrorAction;ErrorVariable;FilterName;OutBuffer;OutVariable;User;Verbose;WarningAction;WarningVariable"
"View-Only Configuration","Get-ClientAccessService","Debug;DomainController;ErrorAction;ErrorVariable;Identity;IncludeAlternateServiceAccountCredentialStatus;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable"
"View-Only Configuration","Get-ContentIndexingProcess","Debug;FarmLabel;Verbose"
"View-Only Configuration","Get-MailboxDatabaseRedundancy","DatabaseAvailabilityGroup;Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;ProxyToPam;ServerToContact;TimeoutInSeconds;Verbose;WarningAction;WarningVariable"
"View-Only Configuration","Set-ActivityAlert","Debug;DomainController"
"View-Only Configuration","Start-ContentIndexingProcess","Debug;FarmLabel;SearchFarmId;Verbose"
"View-Only Configuration","Get-LogExportVirtualDirectory","ADPropertiesOnly;Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Server;ShowMailboxVirtualDirectories;Verbose;WarningAction;WarningVariable"
"View-Only Configuration","Get-DlpCompliancePolicy","Debug;DomainController;ErrorAction;Identity;Verbose"
"View-Only Configuration","Get-AdministrativeUnit","Debug;DisplayName;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable"
"View-Only Configuration","Get-SubmissionMalwareFilteringServer","Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable"
"View-Only Configuration","Get-MigrationUserStatistics","Debug;Diagnostic;DiagnosticArgument;DomainController;ErrorAction;ErrorVariable;Identity;IncludeReport;IncludeSkippedItems;LimitSkippedItemsTo;OutBuffer;OutVariable;SkipSubscription;Verbose;WarningAction;WarningVariable"
"View-Only Configuration","Get-ActivityAlert","Debug;DomainController"
"View-Only Configuration","Get-DlpComplianceRuleV2","Debug;DomainController;ErrorAction;Identity;Policy;Verbose"
"View-Only Configuration","Get-MailboxServerRedundancy","DatabaseAvailabilityGroup;Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;ProxyToPam;ServerToContact;TimeoutInSeconds;Verbose;WarningAction;WarningVariable"
"View-Only Configuration","Set-ProtectionAlert","Debug"
"View-Only Configuration","Get-RbacDiagnosticInfo","Debug;ErrorAction;ErrorVariable;OutBuffer;OutVariable;UserName;Verbose;WarningAction;WarningVariable"
"View-Only Configuration","Get-ManagementRoleAssignment","AssignmentMethod;ConfigWriteScope;CustomConfigWriteScope;CustomRecipientWriteScope;Debug;Delegating;DomainController;Enabled;ErrorAction;ErrorVariable;Exclusive;ExclusiveConfigWriteScope;ExclusiveRecipientWriteScope;GetEffectiveUsers;Identity;OutBuffer;OutVariable;RecipientAdministrativeUnitScope;RecipientOrganizationalUnitScope;RecipientWriteScope;Role;RoleAssignee;RoleAssigneeType;Verbose;WarningAction;WarningVariable;WritableDatabase;WritableRecipient;WritableServer"
"View-Only Configuration","Get-RestVirtualDirectory","ADPropertiesOnly;Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Server;ShowMailboxVirtualDirectories;Verbose;WarningAction;WarningVariable"
"View-Only Configuration","Get-ComplianceServiceVirtualDirectory","ADPropertiesOnly;Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Server;ShowMailboxVirtualDirectories;Verbose;WarningAction;WarningVariable"
"View-Only Configuration","Get-MailboxDeliveryVirtualDirectory","ADPropertiesOnly;Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Server;ShowMailboxVirtualDirectories;Verbose;WarningAction;WarningVariable"
"View-Only Configuration","Get-LAMDefinitions","ComponentName;ComponentType;Debug;ErrorAction;ErrorVariable;HealthSet;ShowDisabled;TargetMachine;Team;Verbose;WarningAction;WarningVariable"
"View-Only Configuration","Get-LAMResults","ComponentName;ComponentType;Debug;End;ErrorAction;ErrorVariable;HealthSet;ReturnOnlyFailedResults;Span;Start;TargetMachine;Team;TimeRange;TimeZone;Verbose;WarningAction;WarningVariable"
"View-Only Configuration","Get-ProtectionAlert","Debug"
"View-Only Configuration","Get-ProcessInfo","TargetMachine"
"View-Only Configuration","Get-TimeRange","Debug;End;ErrorAction;ErrorVariable;Span;Start;TimeZone;Verbose;WarningAction;WarningVariable"
"View-Only Configuration","New-ActivityAlert","Debug;DomainController"
"View-Only Configuration","Get-ExchangeSettings","ConfigName;Database;Debug;Diagnostic;DiagnosticArgument;DomainController;ErrorAction;ErrorVariable;Force;GenericScopeName;GenericScopes;GenericScopeValue;Identity;Organization;OutBuffer;OutVariable;Process;Server;User;Verbose;WarningAction;WarningVariable"
"View-Only Configuration","Get-DlpComplianceRule","Debug;DomainController;ErrorAction;Identity;Policy;Verbose"
"View-Only Configuration","Get-MalwareFilterRule","Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;State;Verbose;WarningAction;WarningVariable"
"View-Only Configuration","Get-MalwareFilterPolicy","Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable"
"View-Only Configuration","Get-MalwareFilteringServer","Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable"
"View-Only Configuration","Get-MailboxTransportService","Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable"
"View-Only Configuration","Get-ServerHealth","Debug;ErrorAction;ErrorVariable;HaImpactingOnly;HealthSet;Identity;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable"
"View-Only Configuration","Get-MailboxDatabaseCopyStatus","Active;ConnectionStatus;Debug;DomainController;ErrorAction;ErrorVariable;ExtendedErrorInfo;Identity;Local;OutBuffer;OutVariable;Server;UseServerCache;Verbose;WarningAction;WarningVariable"
"View-Only Configuration","Get-ServerMonitoringOverride","Debug;ErrorAction;ErrorVariable;OutBuffer;OutVariable;Server;Verbose;WarningAction;WarningVariable;WhatIf"
"View-Only Configuration","Get-ResubmitRequest","Debug;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Server;Verbose;WarningAction;WarningVariable"
"View-Only Configuration","Get-SettingOverride","Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable"
"View-Only Configuration","Get-QueueDigest","Dag;Debug;DetailsLevel;ErrorAction;ErrorVariable;Filter;Forest;GroupBy;OutBuffer;OutVariable;ResultSize;Server;Site;Timeout;Verbose;WarningAction;WarningVariable"
"View-Only Configuration","Get-SiteMailbox","Anr;BypassOwnerCheck;Debug;DeletedSiteMailbox;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;ReadFromDomainController;ResultSize;Verbose;WarningAction;WarningVariable"
"View-Only Configuration","Get-SiteMailboxDiagnostics","BypassOwnerCheck;Confirm;Debug;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;SendMeEmail;Verbose;WarningAction;WarningVariable;WhatIf"
"View-Only Configuration","Get-SiteMailboxProvisioningPolicy","Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable"
"View-Only Configuration","Get-SmimeConfig","Debug;Identity"
"View-Only Configuration","Get-StoreUsageStatistics","CopyOnServer;Database;Debug;DomainController;ErrorAction;ErrorVariable;Filter;Identity;IncludePassive;OutBuffer;OutVariable;Server;Verbose;WarningAction;WarningVariable"
"View-Only Configuration","Get-OrganizationalUnit","Debug;DomainController;ErrorAction;ErrorVariable;Identity;IncludeContainers;OutBuffer;OutVariable;ResultSize;SearchText;SingleNodeOnly;Verbose;WarningAction;WarningVariable"
"View-Only Configuration","Get-IntraOrganizationConnector","Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable"
"View-Only Configuration","Get-IntraOrganizationConfiguration","Debug;ErrorAction;ErrorVariable;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable"
"View-Only Configuration","Get-OutlookAnywhere","ADPropertiesOnly;Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Server;ShowMailboxVirtualDirectories;Verbose;WarningAction;WarningVariable"
"View-Only Configuration","Get-HostedContentFilterRule","Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;State;Verbose;WarningAction;WarningVariable"
"View-Only Configuration","Get-HealthReport","Debug;DomainController;ErrorAction;ErrorVariable;GroupSize;HaImpactingOnly;HealthSet;Identity;MinimumOnlinePercent;OutBuffer;OutVariable;RollupGroup;Verbose;WarningAction;WarningVariable"
"View-Only Configuration","Get-GlobalMonitoringOverride","Debug;DomainController;ErrorAction;ErrorVariable;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable;WhatIf"
"View-Only Configuration","Get-PushNotificationSubscription","Debug;ErrorAction;ErrorVariable;ExpirationTimeInHours;Mailbox;OutBuffer;ResultSize;ShowAll;Verbose;WarningAction"
"View-Only Configuration","Get-FrontendTransportService","Debug;DomainController;ErrorAction;ErrorVariable;Identity;IntraOrgConnectorProtocolLoggingLevel;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable"
"View-Only Configuration","Get-ThrottlingPolicy","Debug;Diagnostics;DomainController;ErrorAction;ErrorVariable;Explicit;Identity;OutBuffer;OutVariable;ThrottlingPolicyScope;Verbose;WarningAction;WarningVariable"
"View-Only Configuration","Get-ThrottlingPolicyAssociation","Anr;Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;ResultSize;SortBy;ThrottlingPolicy;Verbose;WarningAction;WarningVariable"
"View-Only Configuration","Get-OwaVirtualDirectory","ADPropertiesOnly;Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Server;ShowMailboxVirtualDirectories;Verbose;WarningAction;WarningVariable"
"View-Only Configuration","Get-OabVirtualDirectory","ADPropertiesOnly;Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Server;ShowMailboxVirtualDirectories;Verbose;WarningAction;WarningVariable"
"View-Only Configuration","Get-Notification","Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;ProcessType;ResultSize;StartDate;Summary;Verbose;WarningAction;WarningVariable"
"View-Only Configuration","Get-FailedContentIndexDocuments","Archive;Confirm;Debug;DomainController;EndDate;ErrorAction;ErrorCode;ErrorVariable;FailureMode;Identity;MailboxDatabase;OutBuffer;OutVariable;ResultSize;Server;StartDate;Verbose;WarningAction;WarningVariable;WhatIf"
"View-Only Configuration","Get-ExchangeServerAccessLicenseUser","Debug;ErrorAction;ErrorVariable;LicenseName;OutBuffer;OutVariable;Status;Verbose;WarningAction;WarningVariable"
"View-Only Configuration","Get-ExchangeServerAccessLicense","Debug;ErrorAction;ErrorVariable;OutBuffer;OutVariable;Status;Verbose;WarningAction;WarningVariable"
"View-Only Configuration","Get-PowerShellVirtualDirectory","ADPropertiesOnly;Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Server;ShowMailboxVirtualDirectories;Verbose;WarningAction;WarningVariable"
"View-Only Configuration","Get-ExchangeCertificate","Debug;DomainController;DomainName;ErrorAction;ErrorVariable;Identity;Instance;OutBuffer;OutVariable;Server;Thumbprint;Verbose;WarningAction;WarningVariable"
"View-Only Configuration","Get-TransportRule","Debug;DlpPolicy;DomainController;ErrorAction;ErrorVariable;Filter;Identity;OutBuffer;OutVariable;ResultSize;State;Verbose;WarningAction;WarningVariable"
"View-Only Configuration","Get-MonitoringItemIdentity","Debug;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Server;Verbose;WarningAction;WarningVariable"
"View-Only Configuration","Get-MonitoringItemHelp","Debug;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Server;Verbose;WarningAction;WarningVariable"
"View-Only Configuration","Get-MobileDeviceMailboxPolicy","Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable"
"View-Only Configuration","Get-TransportService","Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable"
"View-Only Configuration","Get-EcpVirtualDirectory","ADPropertiesOnly;Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Server;ShowMailboxVirtualDirectories;Verbose;WarningAction;WarningVariable"
"View-Only Configuration","Get-DlpPolicyTemplate","Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable"
"View-Only Configuration","Get-DlpPolicy","Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable"
"View-Only Configuration","Get-MigrationUser","BatchId;Debug;DomainController;ErrorAction;ErrorVariable;Identity;MailboxGuid;OutBuffer;OutVariable;ResultSize;Status;StatusSummary;Verbose;WarningAction;WarningVariable"
"View-Only Configuration","Get-MigrationStatistics","Debug;Diagnostic;DiagnosticArgument;DomainController;ErrorAction;ErrorVariable;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable"
"View-Only Configuration","Get-DataClassification","ClassificationRuleCollectionIdentity;Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable"
"View-Only Configuration","Get-UMCallRouterSettings","Debug;DomainController;ErrorAction;ErrorVariable;OutBuffer;OutVariable;Server;Verbose;WarningAction;WarningVariable"
"View-Only Configuration","Get-DatabaseAvailabilityGroupConfiguration","Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Status;Verbose;WarningAction;WarningVariable"
"View-Only Configuration","Get-MigrationEndpoint","BatchStatus;Confirm;ConnectionSettings;Debug;Diagnostic;DiagnosticArgument;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Type;Verbose;WarningAction;WarningVariable;WhatIf"
"View-Only Configuration","Get-MigrationConfig","Debug;DomainController;ErrorAction;ErrorVariable;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable"
"View-Only Configuration","Get-MigrationBatch","Debug;Diagnostic;DiagnosticArgument;DomainController;Endpoint;ErrorAction;ErrorVariable;Identity;IncludeReport;LimitErrorsTo;OutBuffer;OutVariable;Status;Verbose;WarningAction;WarningVariable"
"View-Only Configuration","Get-PolicyTipConfig","Action;Debug;DomainController;ErrorAction;ErrorVariable;Identity;Locale;Original;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable"
"View-Only Configuration","Get-ClassificationRuleCollection","Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable"
"View-Only Configuration","Get-UMService","Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable"
"View-Only Configuration","Get-MapiVirtualDirectory","ADPropertiesOnly;Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Server;ShowMailboxVirtualDirectories;Verbose;WarningAction;WarningVariable"
"View-Only Configuration","Get-AutodiscoverVirtualDirectory","ADPropertiesOnly;Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Server;ShowMailboxVirtualDirectories;Verbose;WarningAction;WarningVariable"
"View-Only Configuration","Get-AuthServer","Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;WarningAction;WarningVariable"
"View-Only Configuration","Get-Queue","BookmarkIndex;BookmarkObject;Debug;ErrorAction;ErrorVariable;Exclude;Filter;Identity;Include;IncludeBookmark;OutBuffer;OutVariable;ResultSize;ReturnPageInfo;SearchForward;Server;SortOrder;Verbose;WarningAction;WarningVariable"
"View-Only Configuration","Get-AuthConfig","Debug;DomainController;ErrorAction;ErrorVariable;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable"
"View-Only Configuration","Get-AuditLogSearch","CreatedAfter;CreatedBefore;Debug;ErrorAction;ErrorVariable;Identity;ResultSize;Type;Verbose;WarningAction;WarningVariable"
"View-Only Configuration","Get-AgentLog","Debug;EndDate;ErrorAction;ErrorVariable;Location;OutBuffer;OutVariable;StartDate;TransportService;Verbose;WarningAction;WarningVariable"
"View-Only Configuration","Get-PendingFederatedDomain","Debug;DomainController;ErrorAction;ErrorVariable;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable"
"View-Only Configuration","Set-OrganizationConfig","UMAvailableLanguages"
"View-Only Configuration","Set-SearchDocumentFormat","Debug;DomainController;Enabled;Server;Verbose"
"View-Only Configuration","Get-WebServicesVirtualDirectory","ADPropertiesOnly;Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Server;ShowMailboxVirtualDirectories;Verbose;WarningAction;WarningVariable"
"View-Only Configuration","Get-AddressList","Container;Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;SearchText;Verbose;WarningAction;WarningVariable"
"View-Only Configuration","Get-ServerComponentState","Component;Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable"
"View-Only Configuration","Get-ActiveSyncVirtualDirectory","ADPropertiesOnly;Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Server;ShowMailboxVirtualDirectories;Verbose;WarningAction;WarningVariable"
"View-Only Configuration","Invoke-MonitoringProbe","Account;Debug;Endpoint;ErrorAction;ErrorVariable;Identity;ItemTargetExtension;OutBuffer;OutVariable;Password;PropertyOverride;SecondaryAccount;SecondaryEndpoint;SecondaryPassword;Server;TimeOutSeconds;Verbose;WarningAction;WarningVariable"
"View-Only Configuration","New-SearchDocumentFormat","Debug;DomainController;Enabled;Server;Verbose"
"View-Only Configuration","Get-ActiveSyncDeviceAutoblockThreshold","Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable"
"View-Only Configuration","Remove-SearchDocumentFormat","Debug;DomainController;Server;Verbose"
"View-Only Configuration","Remove-ServerMonitoringOverride","Confirm;Debug;ErrorAction;ErrorVariable;Identity;ItemType;OutBuffer;OutVariable;PropertyName;Server;Verbose;WarningAction;WarningVariable;WhatIf"
"View-Only Configuration","Set-ServerMonitor","Confirm;Debug;ErrorAction;ErrorVariable;Name;OutBuffer;OutVariable;Repairing;Server;TargetResource;Verbose;WarningAction;WarningVariable;WhatIf"
"View-Only Configuration","Set-SmimeConfig","Confirm;Debug;Identity;OWAAllowUserChoiceOfSigningCertificate;OWAAlwaysEncrypt;OWAAlwaysSign;OWABCCEncryptedEmailForking;OWACheckCRLOnSend;OWAClearSign;OWACopyRecipientHeaders;OWACRLConnectionTimeout;OWACRLRetrievalTimeout;OWADisableCRLCheck;OWADLExpansionTimeout;OWAEncryptionAlgorithms;OWAEncryptTemporaryBuffers;OWAForceSMIMEClientUpgrade;OWAIncludeCertificateChainAndRootCertificate;OWAIncludeCertificateChainWithoutRootCertificate;OWAIncludeSMIMECapabilitiesInMessage;OWAOnlyUseSmartCard;OWASenderCertificateAttributesToDisplay;OWASignedEmailCertificateInclusion;OWASigningAlgorithms;OWATripleWrapSignedEncryptedMail;OWAUseKeyIdentifier;OWAUseSecondaryProxiesWhenFindingCertificates;SMIMECertificateIssuingCA;WhatIf"
"View-Only Configuration","Get-SearchDocumentFormat","Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Server;Verbose;WarningAction;WarningVariable"
"View-Only Configuration","Export-DlpPolicyCollection","Confirm;Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable;WhatIf"
"View-Only Configuration","Get-PartnerApplication","Debug;DomainController;ErrorAction;ErrorVariable;Identity;Organization;OutBuffer;OutVariable;WarningAction;WarningVariable"
"View-Only Configuration","Get-ExchangeDiagnosticInfo","Argument;AsJob;Component;Debug;ErrorAction;ErrorVariable;OutBuffer;OutVariable;Process;Server;Unlimited;Verbose;WarningAction;WarningVariable"
"View-Only Configuration","Enable-ExchangeCertificate","Identity"
"View-Only Configuration","Add-ServerMonitoringOverride","ApplyVersion;Confirm;Debug;Duration;ErrorAction;ErrorVariable;Identity;ItemType;OutBuffer;OutVariable;PropertyName;PropertyValue;Server;Verbose;WarningAction;WarningVariable;WhatIf"
"View-Only Configuration","Get-AddressBookPolicy","Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable"
"View-Only Configuration","Get-HybridConfiguration","Debug;DomainController;ErrorAction;ErrorVariable;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable"
"View-Only Configuration","Get-AuthRedirect","Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable"
"View-Only Configuration","Get-FederationInformation","BypassAdditionalDomainValidation;Debug;DomainName;ErrorAction;ErrorVariable;Force;OutBuffer;OutVariable;TrustedHostnames;Verbose;WarningAction;WarningVariable"
"View-Only Configuration","Test-OrganizationRelationship","Confirm;Debug;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;UserIdentity;Verbose;WarningAction;WarningVariable;WhatIf"
"View-Only Configuration","Test-FederationTrustCertificate","Confirm;Debug;DomainController;ErrorAction;ErrorVariable;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable;WhatIf"
"View-Only Configuration","Get-X400AuthoritativeDomain","Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable"
"View-Only Configuration","Get-UserPrincipalNamesSuffix","Debug;ErrorAction;ErrorVariable;OrganizationalUnit;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable"
"View-Only Configuration","Get-UmServer","Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable"
"View-Only Configuration","Get-UMMailboxPolicy","Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;UMDialPlan;Verbose;WarningAction;WarningVariable"
"View-Only Configuration","Get-UMIPGateway","Debug;DomainController;ErrorAction;ErrorVariable;Identity;IncludeSimulator;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable"
"View-Only Configuration","Get-UMHuntGroup","Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;UMDialPlan;Verbose;WarningAction;WarningVariable"
"View-Only Configuration","Get-UMDialPlan","Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable"
"View-Only Configuration","Get-UMCallSummaryReport","Debug;DomainController;ErrorAction;ErrorVariable;GroupBy;OutBuffer;OutVariable;UMDialPlan;UMIPGateway;Verbose;WarningAction;WarningVariable"
"View-Only Configuration","Get-UMAutoAttendant","Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;UMDialPlan;Verbose;WarningAction;WarningVariable"
"View-Only Configuration","Get-UMActiveCalls","Debug;DialPlan;DomainController;ErrorAction;ErrorVariable;InstanceServer;IPGateway;OutBuffer;OutVariable;Server;Verbose;WarningAction;WarningVariable"
"View-Only Configuration","Get-Trust","Debug;DomainName;ErrorAction;ErrorVariable;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable"
"View-Only Configuration","Get-TransportServer","Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable"
"View-Only Configuration","Get-TransportRulePredicate","Debug;ErrorAction;ErrorVariable;Name;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable"
"View-Only Configuration","Get-TransportRuleAction","Debug;ErrorAction;ErrorVariable;Name;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable"
"View-Only Configuration","Get-TransportPipeline","Debug;DomainController;ErrorAction;ErrorVariable;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable"
"View-Only Configuration","Get-TransportConfig","Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable"
"View-Only Configuration","Get-TransportAgent","Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable"
"View-Only Configuration","Get-TextMessagingAccount","Credential;Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;ReadFromDomainController;ResultSize;Verbose;WarningAction;WarningVariable"
"View-Only Configuration","Get-SystemMessage","Debug;DomainController;ErrorAction;ErrorVariable;Identity;Original;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable"
"View-Only Configuration","Get-SyncConfig","Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable"
"View-Only Configuration","Get-SharingPolicy","Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable"
"View-Only Configuration","Get-ServiceStatus","Debug;DomainController;ErrorAction;ErrorVariable;MaintenanceWindowDays;OutBuffer;OutVariable;ReportingDatabase;ReportingServer;Verbose;WarningAction;WarningVariable"
"View-Only Configuration","Get-ServiceAvailabilityReport","DailyStatistics;Debug;DomainController;EndDate;ErrorAction;ErrorVariable;OutBuffer;OutVariable;ReportingDatabase;ReportingPeriod;ReportingServer;StartDate;Verbose;WarningAction;WarningVariable"
"View-Only Configuration","Get-SenderReputationConfig","Debug;DomainController;ErrorAction;ErrorVariable;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable"
"View-Only Configuration","Get-SenderIdConfig","Debug;DomainController;ErrorAction;ErrorVariable;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable"
"View-Only Configuration","Get-SenderFilterConfig","Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable"
"View-Only Configuration","Get-SendConnector","Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable"
"View-Only Configuration","Get-RpcClientAccess","Debug;DomainController;ErrorAction;ErrorVariable;OutBuffer;OutVariable;Server;Verbose;WarningAction;WarningVariable"
"View-Only Configuration","Get-RoutingGroupConnector","Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable"
"View-Only Configuration","Get-RoleGroupMember","Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;ReadFromDomainController;ResultSize;Verbose;WarningAction;WarningVariable"
