Name,Role,RoleAssigneeName,EffectiveUserName,RoleAssigneeType,CustomRecipientWriteScope,CustomConfigWriteScope,RecipientReadScope,ConfigReadScope,RecipientWriteScope,ConfigWriteScope,AssignmentMethod
MyBaseOptions-Default Role Assignment Policy,MyBaseOptions,Default Role Assignment Policy,All Policy Assignees,RoleAssignmentPolicy,,,Self,OrganizationConfig,Self,OrganizationConfig,Direct
MyMailSubscriptions-Default Role Assignment Policy,MyMailSubscriptions,Default Role Assignment Policy,All Policy Assignees,RoleAssignmentPolicy,,,Self,OrganizationConfig,Self,OrganizationConfig,Direct
MyDistributionGroups-Default Role Assignment Policy,MyDistributionGroups,Default Role Assignment Policy,All Policy Assignees,RoleAssignmentPolicy,,,MyGAL,OrganizationConfig,MyDistributionGroups,None,Direct
Transport Rules-Compliance Management,Transport Rules,Compliance Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Retention Management-Compliance Management,Retention Management,Compliance Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Message Tracking-Compliance Management,Message Tracking,Compliance Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
View-Only Recipients-Compliance Management,View-Only Recipients,Compliance Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,None,None,Direct
View-Only Configuration-Compliance Management,View-Only Configuration,Compliance Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,None,None,Direct
Compliance Admin-Compliance Management,Compliance Admin,Compliance Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Information Rights Management-Compliance Management,Information Rights Management,Compliance Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Legal Hold-Discovery Management,Legal Hold,Discovery Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,None,Direct
Journaling-Compliance Management,Journaling,Compliance Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Data Loss Prevention-Compliance Management,Data Loss Prevention,Compliance Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Audit Logs-Compliance Management,Audit Logs,Compliance Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
View-Only Audit Logs-Compliance Management,View-Only Audit Logs,Compliance Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,None,None,Direct
Distribution Groups-Organization Management-Delegating,Distribution Groups,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
